"datetime","thing_id","value"
2023-08-16 18:21:38.074 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",94.0
2023-08-16 18:21:41.269 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",92.0
2023-08-16 18:36:47.191 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",86.0
2023-08-16 18:36:47.199 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",73.0
2023-08-16 18:36:47.222 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",69.0
2023-08-16 18:49:33.748 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",91.0
2023-08-16 18:49:34.219 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",103.0
2023-08-16 18:49:34.343 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",90.0
2023-08-16 19:04:43.755 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",87.0
2023-08-16 19:04:45.593 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",69.0
2023-08-16 19:04:49.835 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",68.0
2023-08-16 19:19:43.667 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",89.0
2023-08-16 19:19:43.673 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",92.0
2023-08-16 19:19:43.708 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",87.0
2023-08-16 19:34:43.758 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",91.0
2023-08-16 19:34:43.827 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",68.0
2023-08-16 19:49:43.808 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",93.0
2023-08-16 19:49:43.894 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",73.0
2023-08-16 20:04:44.045 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",76.0
2023-08-16 20:14:29.901 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",81.0
2023-08-16 20:29:33.608 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",85.0
2023-08-16 20:44:34.188 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",84.0
2023-08-16 20:59:34.768 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",192.0
2023-08-16 21:14:34.204 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",188.0
2023-08-16 21:29:33.902 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",96.0
2023-08-16 21:44:34.191 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",76.0
2023-08-16 21:59:34.075 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",76.0
2023-08-17 06:06:03.355 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",72.0
2023-08-17 06:21:13.679 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",92.0
2023-08-17 06:36:13.714 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",87.0
2023-08-17 06:51:13.989 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",81.0
2023-08-17 07:06:13.684 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",84.0
2023-08-17 07:21:13.676 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",91.0
2023-08-17 07:36:13.531 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",109.0
2023-08-17 10:16:25.790 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",118.0
2023-08-17 10:23:55.311 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",86.0
